Alpha Cd Cd(f) Cd(r) Cl Cl(f) Cl(r) CmPitch CmRoll CmYaw Cs Cs(f) Cs(r) xcp Ux_final Uy_final k_final p_final omega_final Cl_res Cd_res Cm_res yplus iter_n
-10 1.0965111320188677e-01 6.7498025629654879e-01 -5.6532914309466187e-01 -6.2015469969560533e-01 -1.3173397706994805e-01 -4.8842072262565728e-01 1.7834337277785461e-01 6.2015469969560533e-01 1.0965111320188677e-01 -1.4053690902359591e-21 1.0965111320188677e-01 -1.0965111320188677e-01 0.5331863635793661 1.0936601875485179e-07 3.2030088292566529e-07 5.4742997079645386e-09 1.5280930068182580e-06 5.0628171179222258e-11 0.0007298850140385893 0.0011262191248160996 0.0001837757039357124 1.4644507449141813e+00 5001
-5 8.6909007306343516e-02 3.0701936001397057e-01 -2.2011035270762710e-01 -2.6356485636079885e-01 -5.5667825394315952e-02 -2.0789703096648288e-01 7.6114602786083466e-02 2.6356485636079885e-01 8.6909007306343516e-02 -9.0969904981266835e-22 8.6909007306343516e-02 -8.6909007306343516e-02 0.5317634561944724 1.7292282030314360e-08 1.5414432404211169e-07 1.4282141378863149e-09 1.7430943477125671e-07 2.4926859082790709e-11 0.0017178895364683422 0.00043773217799293607 0.0012762665743459578 1.5663145222227912e+00 5001
-2 5.0770016597518938e-02 3.9702384093864410e-02 1.1067632503654534e-02 -1.4317375795104935e-02 1.1433563699880314e-02 -2.5750939494985248e-02 1.8592251597432781e-02 1.4317375795104935e-02 5.0770016597518938e-02 -8.1794590285033675e-22 5.0770016597518938e-02 -5.0770016597518938e-02 1.4061984522671476 3.5341510742828321e-09 3.0797817619158380e-08 7.5224391867981289e-10 7.8047115498475386e-08 2.0932744890786649e-11 0.002774741686203364 0.0023021413756086004 0.0003117219421928351 1.5452590315063586e+00 2440
0 3.3508693928554732e-02 -2.5064924946693073e-01 2.8415794339548550e-01 2.6740359643120820e-01 1.0557026444120246e-01 1.6183333199000571e-01 -2.8131533774401626e-02 -2.6740359643120815e-01 3.3508693928554732e-02 -4.9117627609068860e-22 3.3508693928554732e-02 -3.3508693928554732e-02 0.3552025258816543 3.9172249260444898e-09 1.5147017933083261e-06 7.7522226851861549e-10 1.4339551300404969e-07 1.9548237725693051e-11 0.0020030093877048682 0.0016157494217978671 0.00017302927387743972 1.5009996410225017e+00 5001
2 3.2782977174571744e-02 -5.7420130650374768e-01 6.0698428367831947e-01 5.9059279509103357e-01 2.2925317037960635e-01 3.6133962471142722e-01 -6.6043227165910420e-02 -5.9059279509103357e-01 3.2782977174571744e-02 -5.9137207192615180e-24 3.2782977174571744e-02 -3.2782977174571744e-02 0.36167700553172566 1.0517465381100450e-09 6.3002881140806049e-08 5.9680094691051323e-10 1.2069408659360281e-07 1.6577159234575950e-11 0.0007187121424305776 0.0014352645384616974 3.220305429597892e-05 1.5927571576058053e+00 5001
6 1.6843350824907056e-02 -1.1242370564190873e+00 1.1410804072439944e+00 1.1326587318315409e+00 4.7996377558133574e-01 6.5269495625020513e-01 -8.6365590334434708e-02 -1.1326587318315409e+00 1.6843350824907056e-02 6.3080493657579522e-22 1.6843350824907056e-02 -1.6843350824907056e-02 0.3265506815668626 6.2822522954490481e-09 4.2517028804804998e-08 7.3973185560502118e-10 7.3844764066285623e-08 1.4798811887829180e-11 0.0013048500052534884 0.0005281855582611843 0.00011585084644932797 1.9801066942129635e+00 589
10 2.7125417112060252e-02 -1.4666631847967453e+00 1.4937886019088056e+00 1.4802258933527754e+00 6.6149678929146605e-01 8.1872910406130950e-01 -7.8616157384921739e-02 -1.4802258933527754e+00 2.7125417112060249e-02 1.8217359997710886e-21 2.7125417112060249e-02 -2.7125417112060249e-02 0.30375654096058763 6.7010422943673336e-09 2.7144965995919149e-08 2.7086051335758078e-10 7.9165498153439794e-08 8.9923763479614728e-12 0.0005392471573024693 0.0003421009093214668 0.00019569478619400893 2.2486346429004853e+00 373
12 4.5135229863815858e-02 -1.6060670589139270e+00 1.6512022887777429e+00 1.6286346738458353e+00 7.2616257303211929e-01 9.0247210081371587e-01 -8.8154763890798279e-02 -1.6286346738458350e+00 4.5135229863815914e-02 1.9218854142676973e-21 4.5135229863815914e-02 -4.5135229863815914e-02 0.30501320223974787 6.5336234496513598e-09 2.4358009106270271e-08 9.4841630653554200e-10 6.3341912971361764e-08 6.2088208552757877e-12 0.0003310646391090355 0.00011142553486514356 5.6462638503160245e-05 2.3483378983971979e+00 363
14 1.2711235954649400e-01 -1.6795928242468021e+00 1.8067051837932961e+00 1.7431490040200490e+00 6.8287568676641475e-01 1.0602733172536343e+00 -1.8869881524360971e-01 -1.7431490040200490e+00 1.2711235954649400e-01 2.0270903023725389e-21 1.2711235954649400e-01 -1.2711235954649400e-01 0.35957347553734365 9.5400573476154821e-09 3.3341265898205472e-08 8.5897328795451517e-10 7.4213598720007628e-08 1.1866757293499901e-11 0.00366348967205532 0.0006058306924701107 0.0006810442727445132 2.3756162946824548e+00 368
16 1.8573103215273390e-01 -1.0241399804747857e+00 1.2098710126275194e+00 1.1170054965511527e+00 4.0961720599301549e-01 7.0738829055813712e-01 -1.4888554228256085e-01 -1.1170054965511527e+00 1.8573103215273395e-01 1.6948049198477340e-21 1.8573103215273395e-01 -1.8573103215273395e-01 0.3823510560636284 3.5876932297962052e-09 1.1918082539282380e-08 6.7629210090941456e-10 7.7679361572188136e-08 6.0545346616570451e-12 0.00013554123934844675 0.00010851652398927158 4.902910374385283e-05 2.0586245162931074e+00 1019
18 2.1024620001907490e-01 -1.0915793081161729e+00 1.3018255081352479e+00 1.1967024081257103e+00 4.4303680715655058e-01 7.5366560096915969e-01 -1.5531439690630458e-01 -1.1967024081257103e+00 2.1024620001907490e-01 1.7660880750189511e-21 2.1024620001907490e-01 -2.1024620001907490e-01 0.37909503173600134 6.7642419454205342e-09 1.5272163337882060e-08 9.9849120465122987e-10 7.8082912054023480e-08 5.8274175921801791e-12 0.00019898886364733137 0.00013739725268879788 0.0001352794381979383 2.1126565438247460e+00 883
