Alpha Cd Cd(f) Cd(r) Cl Cl(f) Cl(r) CmPitch CmRoll CmYaw Cs Cs(f) Cs(r) xcp Ux_final Uy_final k_final p_final omega_final Cl_res Cd_res Cm_res yplus iter_n
-10 1.0946780313280463e-01 2.5790156752112992e-01 -1.4843376438832526e-01 -2.0316766595472763e-01 -6.3073832522759776e-02 -1.4009383343196785e-01 3.8510000454604031e-02 2.0316766595472757e-01 1.0946780313280463e-01 -6.8998003165446034e-22 1.0946780313280463e-01 -1.0946780313280463e-01 0.4257725340094699 7.3523268770852518e-09 2.7358011508574608e-08 3.5729052036558519e-10 6.5441305810263490e-08 1.4744490795253821e-12 0.00017323836298357986 2.129086918128964e-06 0.00011204021369445177 1.4391991830809301e+00 2861
-5 6.6690095177364142e-02 1.0754275421545756e-01 -4.0852659038093417e-02 -7.4197706626775481e-02 -6.5167321570497143e-03 -6.7680974469725777e-02 3.0582121156338030e-02 7.4197706626775481e-02 6.6690095177364142e-02 -2.8802599577246863e-22 6.6690095177364142e-02 -6.6690095177364142e-02 0.6335817148596314 4.7240899979493849e-09 2.6385487917393139e-08 8.9976842493275384e-10 4.3158047358819588e-08 9.9175239277018120e-13 0.00025429630415274573 4.070159089569758e-05 0.0001739091313757435 1.4317080275211376e+00 3414
-2 4.4046848441924413e-02 -8.8440838684141251e-02 1.3248768712606568e-01 1.1046426290510346e-01 5.7567790904272817e-02 5.2896472000830641e-02 2.3356594517210901e-03 -1.1046426290510346e-01 4.4046848441924427e-02 2.8456409992787270e-22 4.4046848441924427e-02 -4.4046848441924427e-02 0.2285443262970885 2.4797678744053901e-09 2.5587644855567260e-08 7.9106530439485742e-10 1.7967592740610710e-08 9.8709156482646757e-13 0.00021376082754055725 5.285410773381294e-06 7.28818763938285e-05 1.4073311670755808e+00 1385
0 3.3960509450197220e-02 -3.4703326185913819e-01 3.8099377130933543e-01 3.6401351658423681e-01 1.4166646443726183e-01 2.2234705214697498e-01 -4.0340293854856567e-02 -3.6401351658423681e-01 3.3960509450197220e-02 1.0167193023753324e-21 3.3960509450197220e-02 -3.3960509450197220e-02 0.3608208679540101 6.7057250835321731e-10 3.4147096172982172e-08 5.6974653304361321e-10 1.1501325380592850e-08 8.4512920513716218e-13 4.1783030622410955e-05 4.119698449218945e-06 8.400645440755083e-06 1.3561758924891780e+00 1112
2 2.6914607529196451e-02 -7.1422338534660457e-01 7.4113799287580107e-01 7.2768068911120276e-01 2.7727587513402813e-01 4.5040481397717463e-01 -8.6564469421573281e-02 -7.2768068911120276e-01 2.6914607529196465e-02 1.8114668538886897e-21 2.6914607529196465e-02 -2.6914607529196465e-02 0.36887838212974167 1.2048544924323550e-09 5.4513216782220179e-08 2.6559675258402920e-10 3.1459649468070773e-08 3.4235375563629540e-12 1.0784964577958966e-05 2.8166690690691748e-05 1.755418702932554e-05 1.4120511401943707e+00 1069
6 1.5188552208049221e-02 -1.2639574737169932e+00 1.2791460259250427e+00 1.2715517498210180e+00 5.2744036992641519e-01 7.4411137989460274e-01 -1.0833550498409383e-01 -1.2715517498210180e+00 1.5188552208049221e-02 2.2987504815932121e-21 1.5188552208049221e-02 -1.5188552208049221e-02 0.3355613298885091 5.1147548277193280e-09 3.9809318068340158e-08 7.7779036799601461e-10 6.2818302980539657e-08 1.1710030082808761e-11 0.0004252663185484451 0.00028969510027082417 7.487349654469733e-05 1.6148493713983989e+00 587
10 2.2931081594816889e-02 -1.6152382795228344e+00 1.6381693611176515e+00 1.6267038203202431e+00 7.1116430886586091e-01 9.1553951145438217e-01 -1.0218760129426062e-01 -1.6267038203202431e+00 2.2931081594816889e-02 2.9446775991782338e-21 2.2931081594816889e-02 -2.2931081594816889e-02 0.31362973395130533 6.6700523545556357e-09 3.4860686596353013e-08 3.4612899911183908e-10 2.7302200113771711e-08 6.2918186358312441e-12 1.301937145026244e-05 1.554016601408234e-05 3.8225918037385065e-05 1.7919952918517517e+00 395
12 3.5854104745426302e-02 -1.7250299727624694e+00 1.7608840775078958e+00 1.7429570251351827e+00 7.7188110455863834e-01 9.7107592057654424e-01 -9.9597408008952892e-02 -1.7429570251351827e+00 3.5854104745426302e-02 3.1176192135378364e-21 3.5854104745426302e-02 -3.5854104745426302e-02 0.30816505772470637 6.6070515877984076e-09 3.6230986888186252e-08 2.7796130807445871e-10 2.4814103980384752e-08 5.0599029742581801e-12 0.0001734540672102547 5.9365672927538804e-05 1.2399197622206537e-05 1.8832406005223745e+00 403
14 6.5627668547698054e-02 -1.7268740846783195e+00 1.7925017532260175e+00 1.7596879189521686e+00 7.7174372966972937e-01 9.8794418928243932e-01 -1.0810022980635489e-01 -1.7596879189521684e+00 6.5627668547697943e-02 3.1007713289222850e-21 6.5627668547697943e-02 -6.5627668547697943e-02 0.31272882188061624 5.9157745274668217e-09 3.5999828655119253e-08 3.3885752931302579e-10 3.3628080003687572e-08 4.5920984994686723e-12 0.0003005126806605585 9.69738059146269e-05 1.924637927472328e-05 1.9503644573823149e+00 406
16 1.8197899986165189e-01 -1.1805133993167807e+00 1.3624923991784323e+00 1.2715028992476065e+00 4.7916466751108155e-01 7.9233823173652496e-01 -1.5658678211272173e-01 -1.2715028992476065e+00 1.8197899986165195e-01 2.2778002989947247e-21 1.8197899986165195e-01 -1.8197899986165195e-01 0.3730634161297589 3.5219230061388431e-09 9.0517136731196728e-09 3.1528862679944961e-10 7.7002778561477461e-08 6.9953915044095752e-12 0.00032436780516920116 1.5104991720304994e-05 4.842044019534586e-05 1.7329128293830820e+00 1007
18 2.3715659754934038e-01 -1.0676354687152763e+00 1.3047920662646169e+00 1.1862137674899469e+00 4.2162886336857552e-01 7.6458490412137137e-01 -1.7147802037639789e-01 -1.1862137674899467e+00 2.3715659754934032e-01 2.3289268748682387e-21 2.3715659754934032e-01 -2.3715659754934032e-01 0.3927268696577761 2.8684717141225181e-09 7.2602024478858994e-09 2.9626760063220588e-10 7.9251948119491120e-08 5.9619228604403317e-12 0.00040516169447157857 0.0002568775956770797 4.583166561655805e-05 1.7669922547687595e+00 969
20 2.7886727222533286e-01 -1.0299897392919291e+00 1.3088570115172620e+00 1.1694233754045955e+00 4.0617135976034024e-01 7.6325201564425516e-01 -1.7854032794195746e-01 -1.1694233754045955e+00 2.7886727222533286e-01 2.4175615868862836e-21 2.7886727222533286e-01 -2.7886727222533286e-01 0.3994966131666853 2.8132351347460639e-09 7.2973648425414973e-09 8.9261092071022838e-10 7.7320607531222098e-08 5.1043577375395393e-12 0.0010175990881393648 0.0003802058098331673 9.617687883292647e-05 1.7622784257738116e+00 1360
22 3.1662755926537550e-01 -1.0094490256593969e+00 1.3260765849247724e+00 1.1677628052920845e+00 3.9978464340737241e-01 7.6797816188471224e-01 -1.8409675923866986e-01 -1.1677628052920845e+00 3.1662755926537550e-01 2.5350124249317052e-21 3.1662755926537550e-01 -3.1662755926537550e-01 0.40324264198590243 3.7077009894355621e-09 8.2732473894876082e-09 9.9416732457432982e-10 7.5692987451379947e-08 4.4176695291479673e-12 0.00026739568314071427 0.00019217190909182058 4.8959126456527e-05 1.7751224081510202e+00 2030
