Alpha Cd Cd(f) Cd(r) Cl Cl(f) Cl(r) CmPitch CmRoll CmYaw Cs Cs(f) Cs(r) xcp Ux_final Uy_final k_final p_final omega_final Cl_res Cd_res Cm_res yplus iter_n
-10 1.1321262822909872e-01 2.9684212428999951e-01 -1.8362949606090079e-01 -2.4023581017545015e-01 -8.7035820550998913e-02 -1.5319998962445122e-01 3.3082084536726161e-02 2.4023581017545015e-01 1.1321262822909872e-01 -1.9358021766099654e-21 1.1321262822909872e-01 -1.1321262822909872e-01 0.37910320832147015 1.3203918144589321e-07 5.1205730918749675e-07 2.8084716703725858e-09 8.8081761278879397e-07 5.0231053635837992e-11 0.010601479185301937 0.008685506623599834 0.0016410663432987263 1.4653657518765573e+00 5001
-5 7.8190109012019282e-02 1.8002897761426498e-01 -1.0183886860224572e-01 -1.4093392310825537e-01 -4.4389134596837125e-02 -9.6544788511418220e-02 2.6077826957290554e-02 1.4093392310825537e-01 7.8190109012019282e-02 -1.9078857237150552e-21 7.8190109012019282e-02 -7.8190109012019282e-02 0.4271442954256751 3.1526433195603488e-08 4.1236115996489392e-07 1.6926844793663630e-09 3.1393710011651169e-07 4.5331054882916651e-11 0.009753301401987657 0.005917136887958044 0.001573829583515346 1.4478716514322967e+00 5001
-2 5.0171823894892650e-02 -1.3233102460091842e-01 1.8250284849581108e-01 1.5741693654836475e-01 4.7960990776430290e-02 1.0945594577193447e-01 -3.0747477497752085e-02 -1.5741693654836475e-01 5.0171823894892650e-02 -1.1079738328877784e-21 5.0171823894892650e-02 -5.0171823894892650e-02 0.4476439124816898 2.3817421048594839e-08 4.5388564601844147e-07 1.6556712431299700e-09 3.2877375034622032e-07 4.3666676101674078e-11 0.007546060837476998 0.0054580140071223 0.0005856075451190074 1.4041638848990714e+00 5001
0 3.0695251073372690e-02 -4.7798808915825458e-01 5.0868334023162720e-01 4.9333571469494086e-01 1.5862610711037164e-01 3.3470960758456925e-01 -8.8041750237098787e-02 -4.9333571469494086e-01 3.0695251073372690e-02 1.1203536260736531e-22 3.0695251073372690e-02 -3.0695251073372690e-02 0.42846214578553327 1.8002393429483871e-08 6.5715398226385925e-05 1.7180105451387109e-09 2.5547392455827348e-07 3.2256712753093369e-11 0.0028779509910323853 0.00279585486475762 0.0008663467432249022 1.3305630338496623e+00 5001
2 1.6483991422209129e-02 -8.2681185989998918e-01 8.4329585132219831e-01 8.3505385561109391e-01 2.9383773209166841e-01 5.4121612351942550e-01 -1.2368919571387854e-01 -8.3505385561109380e-01 1.6483991422209125e-02 7.0638596387732034e-22 1.6483991422209125e-02 -1.6483991422209125e-02 0.39810940895013747 1.3519075970001390e-08 2.0848257143939700e-07 1.5051716566556759e-09 2.3241471172907971e-07 2.8522453670369899e-11 0.0013178244445224419 0.0005451910448673151 0.00017126106836476418 1.3237205544194570e+00 5001
6 1.7619964453672237e-02 -1.3559614901115780e+00 1.3735814545652505e+00 1.3647714723384141e+00 5.4005812949371002e-01 8.2471334284470421e-01 -1.4232760667549718e-01 -1.3647714723384141e+00 1.7619964453672265e-02 1.5336954707007842e-21 1.7619964453672265e-02 -1.7619964453672265e-02 0.3547191101624846 1.1629600277025650e-08 5.2098005880499840e-08 8.8948058560539409e-10 5.0454167980030077e-08 8.6922298808039983e-12 0.00045243974440345447 5.9395848432900605e-05 5.954400579949448e-05 1.6743308155578835e+00 415
10 2.4598501116081074e-02 -1.6079365023571623e+00 1.6325350034732433e+00 1.6202357529152029e+00 6.8936380299959654e-01 9.3087194991560629e-01 -1.2075407345800492e-01 -1.6202357529152029e+00 2.4598501116081074e-02 2.0528885727907485e-21 2.4598501116081074e-02 -2.4598501116081074e-02 0.32547638037428617 8.0909676600413439e-09 5.2014922444859138e-08 4.1285783407737999e-10 2.7329624742908911e-08 1.3028389074639340e-11 0.00012955753829624328 7.642409782526033e-06 8.659610164010734e-06 1.9175739619336523e+00 238
12 4.0266636256499261e-02 -1.6658547708989238e+00 1.7061214071554229e+00 1.6859880890271732e+00 7.2824155981812966e-01 9.5774652920904368e-01 -1.1475248469545700e-01 -1.6859880890271732e+00 4.0266636256499261e-02 2.2045498962879489e-21 4.0266636256499261e-02 -4.0266636256499261e-02 0.31923155369062145 2.0288515195995101e-08 5.7551484766520281e-08 7.7022328872318854e-10 6.6732695551676355e-08 1.3858365283059080e-11 0.0013097146632272683 0.00016303049945241843 0.00017123124616238994 1.9976892273863245e+00 292
14 6.7735923347550991e-02 -1.6770178127287645e+00 1.7447537360763157e+00 1.7108857744025401e+00 7.3828788455602257e-01 9.7259788984651752e-01 -1.1715500264524752e-01 -1.7108857744025401e+00 6.7735923347550991e-02 2.2650577134009299e-21 6.7735923347550991e-02 -6.7735923347550991e-02 0.3198827079919563 1.8813115312538609e-08 5.2230642401558777e-08 1.0632545566096831e-09 6.5118042584599358e-08 1.0348099951007669e-11 0.0017231759051383744 8.72267487644629e-05 0.00017949760718967422 2.0531011053391817e+00 394
16 8.9614373788149890e-02 -1.6549775930827642e+00 1.7445919668709140e+00 1.6997847799768391e+00 7.3398078562579949e-01 9.6580399435103959e-01 -1.1591160436262006e-01 -1.6997847799768391e+00 8.9614373788149890e-02 2.4134869543619372e-21 8.9614373788149890e-02 -8.9614373788149890e-02 0.31988356086837344 1.6944668002790881e-08 4.1581609589370090e-08 1.0488404223340709e-09 7.3914650138541422e-08 1.6437132966329131e-11 0.0005145006111615391 0.00039628844988540135 0.0003068189546147626 2.1009910910104828e+00 525
18 1.1503031139270120e-01 -1.6791160251443451e+00 1.7941463365370465e+00 1.7366311808406958e+00 7.4477051939525363e-01 9.9186066144544216e-01 -1.2354507102509424e-01 -1.7366311808406958e+00 1.1503031139270120e-01 2.4790264855530723e-21 1.1503031139270120e-01 -1.1503031139270120e-01 0.3232257483813337 1.4199147346287450e-08 3.6024241597807352e-08 5.0659718921682734e-10 7.4521304407121966e-08 2.1238271172510571e-11 0.0005358443399385848 6.2872059879426345e-06 5.70988334326894e-05 2.1657123384107417e+00 782
