  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	       X	       Y	       Z	     Rho	       Q	       V	      Re	      Fx	      Fy	      Fz	      Mx	      My	      Mz	      Cl	      Cd	      Cm	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Q_w.r.	FlapDefl	FlapXDis	FlapYDis	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113	    P114	    P115	    P116	    P117	    P118	    P119	    P120	    P121	    P122	    P123	    P124	    P125	    P126	    P127	    P128	    P129	    P130	    P131	    P132	    P133	    P134	    P135	    P136	    P137	    P138	    P139	    P140	    P141	    P142	    P143	    P144	    P145	    P146	    P147	    P148	    P149	    P150	    P151	    P152	    P153	    P154	    P155	    P156	    P157	    P158	    P159	    P160	    P161	    P162	    P163	    P164	    P165	    P166	    P167	    P168	    P169	    P170	    P171	    P172	    P173	    P174	    P175	    P176	    P177	    P178	    P179	    P180	    P181	    P182	    P183	    P184	    P185	    P186	    P187	    P188	    P189	    P190	    P191	    P192	    P193	    P194	    P195	    P196	    P197	    P198	    P199	    P200	    P201	    P202	    P203	    P204	    P205	    P206	    P207	    P208	    P209	    P210	    P211	    P212	    P213	    P214	    P215	    P216	    P217	    P218	    P219	    P220	    P221	    P222	    P223	    P224	    P225	    P226	    P227	    P228	    P229	    P230	    P231	    P232	    P233	    P234	    P235	    P236	    P237	    P238	    P239	    P240	    P241	    P242	    P243	    P244	    P245	    P246	    P247	    P248	    P249	    P250	    P251	    P252	    P253	    P254	    P255
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	      mm	      mm	      mm	  kg/m^3	      Pa	     m/s	       /	       N	       N	       N	      Nm	      Nm	      Nm	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	 degrees	      mm	      mm	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 15:24:47	  -9.997	   0.000	  231.62	 1023.95	   23.78	     0.0	       0	       0	       0	       0	       0	   0.000	 -74.100	 331.293	   1.201	   541.7	    30.1	  985877	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	 0.00000	 0.00000	   0.000	   0.000	   0.000	   0.000	 372.494	   0.000	  545.86	    0.00	    0.00	    0.00	   -1.51	    1.91	   -0.64	   -1.95	   -3.23	   -0.25	   -2.50	    0.15	   -1.42	    0.61	   -1.54	   -1.84	   -1.47	   -1.45	   -0.93	   -0.04	   -1.37	   -2.28	   -1.25	   -2.52	   -0.76	   -0.40	    0.55	   -0.13	    0.15	    0.28	    1.56	   -1.16	   -1.76	    1.45	   -0.56	   -2.41	    0.44	   -0.00	    0.36	    0.07	    0.01	    0.35	    0.24	    0.37	    0.29	    0.13	    0.16	    0.18	    0.19	    0.24	    0.02	    0.02	    0.24	    0.05	    0.26	    0.19	    0.08	    0.14	    0.14	    0.16	    0.06	    0.19	   -0.01	    0.10	    0.27	    0.10	    0.26	    0.09	   -0.97	    1.32	    0.37	    1.95	   -0.41	    3.22	   -0.35	    0.22	   -0.12	    0.41	   -0.17	   -0.47	    1.28	    1.97	    1.81	    0.74	   -1.07	    0.25	    1.11	   -0.34	    0.98	    1.28	    1.39	    0.29	    0.36	   -0.98	    0.80	   -0.04	   -0.21	   -1.18	    0.48	    0.56	   -0.12	    0.28	    0.18	    0.08	   -0.11	   -0.04	    0.26	    0.01	    0.01	    0.02	    0.52	   -0.82	   -0.06	    0.06	   -0.07	   -0.38	   -0.21	    0.27	    0.01	    0.02	    0.06	    0.13	   -0.11	   -0.20	    0.01	    0.05	   -0.02	  606.18	   41.34	  606.08	  605.33	  601.71	  604.88	  598.49	  592.75	  583.75	  572.73	  556.74	  537.09	  524.80	  512.84	  502.04	  488.51	  475.12	  458.66	  443.43	  429.15	  420.66	  415.63	  409.43	  403.43	  399.11	  391.43	  387.44	  382.98	  378.18	  374.78	  372.29	  368.83	  365.84	  363.31	  361.57	  360.78	  359.25	  359.92	  360.42	  362.04	  361.74	  363.79	  366.61	  367.61	  371.38	  374.16	  377.98	  381.39	  385.89	  388.63	  394.92	  398.24	  409.89	  418.89	  429.89	  443.43	  456.87	  466.84	  483.21	  496.62	  518.98	  540.13	  557.08	  571.97	  584.59	  598.20	  603.51	  605.30	  605.58	   40.68	   44.77	   36.24	    9.64	  -10.19	  -24.65	  -30.55	  -25.23	  -19.54	  -12.56	   -3.22	    4.24	   19.10	   35.89	   38.16	   29.91	   47.99	   54.05	   46.36	   46.55	   44.87	   41.35	   37.24	   35.36	   33.68	   14.52	   19.55	   20.15	   21.01	   19.26	   12.79	   11.40	   10.20	    9.89	   11.36	   14.04	   18.31	    2.97	  -13.24	   -2.44	   -8.95	  -15.55	  -27.09	  -33.38	  -33.94	  -32.57	  -30.28	  -25.50	  -19.88	  -19.46	  -18.96	  -16.44	   -9.55	   -1.48	    7.16	   14.52	   22.34	   28.70	   31.17	   28.62	    0.00	    0.00	    0.00
       2	 15:25:22	  -9.001	   0.000	  232.96	 1023.96	   23.80	     0.0	       0	       0	       0	       0	       0	   0.000	 -74.100	 328.656	   1.201	   544.8	    30.1	  988662	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	 0.00000	 0.00000	   0.000	   0.000	   0.000	   0.000	 372.470	   0.000	  549.02	    0.00	    0.00	    0.00	   -1.48	    1.77	   -0.86	   -1.95	   -3.09	   -0.23	   -2.50	    0.21	   -1.00	    0.45	   -1.33	   -1.85	   -1.64	   -1.39	   -0.97	    0.06	   -1.12	   -2.18	   -1.34	   -2.11	   -0.76	   -0.40	    0.55	    0.00	    0.21	    0.17	    1.60	   -0.96	   -1.96	    1.54	   -0.71	   -2.66	    0.40	   -0.01	    0.32	    0.05	    0.01	    0.34	    0.24	    0.32	    0.30	    0.09	    0.11	    0.14	    0.18	    0.21	    0.02	    0.02	    0.21	    0.03	    0.22	    0.22	    0.06	    0.10	    0.11	    0.12	    0.01	    0.15	   -0.03	    0.08	    0.26	    0.07	    0.24	    0.06	   -0.97	    1.39	    0.46	    2.01	   -0.44	    3.26	   -0.37	    0.26	   -0.22	    0.45	   -0.04	   -0.34	    1.31	    2.20	    1.91	    0.77	   -0.94	    0.36	    1.30	   -0.55	    0.79	    1.35	    1.64	    0.26	    0.39	   -0.88	    0.65	   -0.03	   -0.09	   -0.90	    0.50	    0.53	   -0.10	    0.31	    0.20	    0.08	   -0.11	   -0.06	    0.25	    0.02	    0.02	    0.02	    0.53	   -0.84	   -0.05	    0.05	   -0.07	   -0.40	   -0.21	    0.26	    0.01	    0.03	    0.05	    0.13	   -0.12	   -0.20	    0.01	    0.06	   -0.03	  606.96	   39.46	  606.87	  606.08	  602.56	  606.78	  603.02	  599.33	  592.02	  582.02	  568.00	  550.28	  538.73	  527.34	  517.43	  504.12	  490.98	  474.38	  459.54	  444.58	  436.19	  430.82	  424.04	  417.67	  413.36	  406.09	  400.86	  395.93	  391.07	  387.25	  384.20	  380.46	  377.59	  374.91	  372.84	  371.91	  370.02	  370.38	  370.17	  370.69	  370.55	  372.02	  375.09	  376.87	  380.10	  383.26	  386.88	  390.27	  394.64	  397.78	  403.89	  407.78	  419.73	  430.41	  442.52	  456.38	  470.12	  481.15	  497.36	  511.06	  533.75	  553.65	  568.14	  581.68	  592.04	  601.78	  605.43	  606.37	  606.44	   39.83	   44.07	   39.56	   18.64	    1.03	  -11.23	  -17.98	  -14.01	   -9.43	   -3.93	    4.04	   10.33	   23.63	   36.15	   37.03	   29.01	   45.19	   51.21	   43.53	   43.74	   42.14	   38.79	   34.88	   33.23	   31.86	   12.89	   18.16	   18.96	   20.11	   18.66	   12.54	   11.44	   10.57	   10.51	   12.01	   14.51	   18.32	    2.26	  -12.30	   -0.87	   -6.40	  -12.30	  -23.27	  -29.22	  -29.71	  -28.52	  -26.43	  -21.95	  -16.72	  -16.50	  -16.29	  -14.20	   -7.80	   -0.28	    7.78	   14.53	   21.78	   27.64	   29.71	   26.78	    0.00	    0.00	    0.00
       3	 15:25:58	  -7.999	   0.000	  234.16	 1023.95	   23.81	     0.0	       0	       0	       0	       0	       0	   0.000	 -74.100	 331.134	   1.201	   547.6	    30.2	  991127	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	 0.00000	 0.00000	   0.000	   0.000	   0.000	   0.000	 372.472	   0.000	  551.86	    0.00	    0.00	    0.00	   -1.53	    1.56	   -0.86	   -1.87	   -3.27	   -0.21	   -2.44	    0.23	   -1.29	    0.51	   -1.39	   -1.69	   -1.66	   -1.35	   -0.72	   -0.43	   -1.20	   -2.41	   -1.06	   -2.34	   -0.80	   -0.98	    0.39	   -0.23	    0.13	    0.30	    1.58	   -0.98	   -2.00	    1.43	   -0.88	   -2.64	    0.42	   -0.01	    0.33	    0.05	    0.01	    0.36	    0.23	    0.34	    0.30	    0.10	    0.12	    0.14	    0.15	    0.20	    0.03	    0.02	    0.23	    0.04	    0.25	    0.19	    0.05	    0.10	    0.13	    0.12	    0.06	    0.15	   -0.03	    0.06	    0.26	    0.08	    0.23	    0.07	   -1.11	    1.44	    0.54	    2.11	   -0.45	    3.24	   -0.36	    0.33	    0.00	    0.38	   -0.19	   -0.31	    1.30	    2.19	    1.96	    0.93	   -0.95	    0.45	    1.33	   -0.24	    1.10	    1.54	    1.60	    0.37	    0.33	   -0.72	    0.69	    0.01	   -0.25	   -1.03	    0.46	    0.68	   -0.10	    0.31	    0.21	    0.07	   -0.10	   -0.04	    0.27	    0.02	    0.01	    0.04	    0.52	   -0.85	   -0.06	    0.06	   -0.07	   -0.39	   -0.22	    0.28	    0.01	    0.03	    0.08	    0.14	   -0.11	   -0.19	    0.02	    0.09	   -0.02	  607.63	   37.66	  607.52	  606.75	  603.22	  607.79	  605.81	  603.95	  599.35	  592.64	  581.31	  564.86	  554.23	  542.24	  531.77	  517.94	  503.76	  486.20	  471.22	  456.23	  448.08	  442.26	  435.55	  428.12	  423.30	  415.30	  409.20	  403.53	  397.36	  393.27	  390.06	  386.11	  382.62	  379.39	  376.90	  375.38	  373.84	  373.69	  373.76	  375.22	  375.53	  377.30	  380.31	  381.70	  385.02	  388.49	  392.49	  396.31	  401.47	  405.22	  411.90	  416.99	  430.00	  441.23	  453.73	  467.27	  482.05	  493.04	  509.32	  523.15	  545.86	  565.01	  578.93	  590.33	  598.25	  604.58	  606.49	  607.08	  607.09	   39.49	   43.47	   40.64	   24.77	    9.51	   -2.12	   -9.19	   -7.50	   -4.41	    0.25	    7.04	   13.05	   25.45	   35.97	   36.07	   28.32	   42.83	   48.84	   41.23	   41.41	   40.09	   36.97	   33.34	   31.99	   30.82	   12.16	   17.71	   18.76	   20.17	   19.03	   13.23	   12.48	   11.92	   12.00	   13.55	   15.99	   19.71	    3.56	  -11.56	    1.01	   -3.86	   -9.09	  -19.57	  -25.25	  -25.76	  -24.73	  -22.91	  -18.72	  -13.74	  -13.80	  -13.92	  -12.22	   -6.31	    0.70	    8.21	   14.38	   21.15	   26.55	   28.23	   24.95	    0.00	    0.00	    0.00
       4	 15:26:33	  -7.002	   0.000	  235.30	 1023.97	   23.82	     0.0	       0	       0	       0	       0	       0	   0.000	 -74.100	 328.825	   1.201	   550.3	    30.3	  993520	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	 0.00000	 0.00000	   0.000	   0.000	   0.000	   0.000	 372.468	   0.000	  554.55	    0.00	    0.00	    0.00	   -1.16	    1.37	   -0.60	   -2.03	   -3.23	   -0.19	   -2.36	    0.27	   -1.08	    0.47	   -1.30	   -1.93	   -1.45	   -1.28	   -0.78	   -0.17	   -1.33	   -2.32	   -1.06	   -2.34	   -0.78	   -0.35	    0.33	   -0.11	    0.21	    0.34	    1.56	   -1.23	   -1.98	    1.46	   -0.52	   -2.82	    0.42	   -0.01	    0.32	    0.05	    0.00	    0.35	    0.26	    0.35	    0.26	    0.11	    0.12	    0.14	    0.16	    0.21	    0.01	    0.02	    0.22	    0.06	    0.24	    0.18	    0.04	    0.10	    0.14	    0.12	    0.06	    0.16	   -0.02	    0.05	    0.26	    0.06	    0.24	    0.05	   -1.15	    1.44	    0.45	    2.13	   -0.45	    3.43	   -0.24	    0.30	   -0.18	    0.36	    0.06	   -0.18	    1.26	    2.14	    1.97	    0.81	   -0.89	    0.31	    1.45	   -0.33	    1.15	    1.48	    1.66	    0.38	    0.40	   -0.69	    0.66	    0.08	   -0.31	   -1.00	    0.51	    0.63	   -0.11	    0.35	    0.22	    0.10	   -0.11	   -0.02	    0.28	    0.02	    0.02	    0.03	    0.53	   -0.86	   -0.08	    0.06	   -0.06	   -0.40	   -0.21	    0.28	    0.02	    0.04	    0.05	    0.16	   -0.12	   -0.20	    0.01	    0.07	   -0.02	  607.87	   35.53	  607.78	  606.96	  603.48	  608.06	  606.59	  605.64	  602.06	  596.98	  587.35	  573.67	  564.67	  553.98	  544.49	  531.90	  518.37	  500.76	  486.24	  471.36	  462.58	  456.38	  449.26	  441.43	  436.11	  428.17	  421.97	  416.40	  410.18	  405.68	  401.93	  397.58	  393.69	  390.59	  388.35	  386.44	  384.96	  384.83	  384.98	  386.03	  386.16	  387.20	  389.99	  392.02	  395.73	  399.17	  403.12	  407.24	  412.36	  416.01	  422.00	  426.65	  438.59	  449.58	  462.21	  475.08	  488.58	  499.49	  514.91	  527.77	  549.04	  568.85	  581.78	  591.50	  598.57	  604.98	  606.79	  607.30	  607.30	   38.64	   42.45	   40.67	   28.18	   14.38	    3.48	   -4.40	   -3.52	   -1.07	    2.53	    9.15	   14.47	   25.44	   34.30	   34.58	   27.35	   40.14	   46.18	   38.68	   38.88	   37.94	   34.95	   31.54	   30.46	   29.55	   11.18	   16.98	   18.27	   19.93	   19.05	   13.60	   13.14	   12.81	   13.03	   14.60	   16.72	   19.83	    2.93	  -10.93	    2.23	   -1.83	   -6.43	  -16.50	  -21.90	  -22.38	  -21.53	  -19.96	  -16.07	  -11.37	  -11.69	  -12.11	  -10.79	   -5.32	    1.17	    8.17	   13.84	   20.12	   25.16	   26.41	   22.84	    0.00	    0.00	    0.00
       5	 15:27:08	  -5.994	   0.000	  236.49	 1023.97	   23.84	     0.0	       0	       0	       0	       0	       0	   0.000	 -74.100	 331.416	   1.201	   553.1	    30.4	  995979	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	 0.00000	 0.00000	   0.000	   0.000	   0.000	   0.000	 372.464	   0.000	  557.36	    0.00	    0.00	    0.00	   -1.48	    1.43	   -0.90	   -1.81	   -3.13	   -0.25	   -2.60	    0.09	   -0.92	    0.37	   -1.70	   -1.99	   -1.45	   -1.45	   -0.74	   -0.21	   -1.07	   -2.30	   -1.36	   -2.29	   -0.72	   -0.89	    0.29	   -0.09	    0.12	    0.39	    1.50	   -1.35	   -1.94	    1.29	   -0.79	   -2.55	    0.43	   -0.01	    0.34	    0.05	    0.01	    0.31	    0.25	    0.36	    0.28	    0.08	    0.12	    0.15	    0.14	    0.22	    0.02	    0.02	    0.21	    0.05	    0.26	    0.20	    0.07	    0.10	    0.14	    0.16	    0.05	    0.15	   -0.03	    0.09	    0.25	    0.09	    0.23	    0.05	   -1.04	    1.36	    0.46	    2.13	   -0.61	    3.44	   -0.43	    0.26	   -0.02	    0.33	   -0.02	   -0.27	    1.30	    2.32	    1.79	    0.67	   -0.89	    0.49	    1.22	   -0.31	    1.04	    1.27	    1.66	    0.28	    0.33	   -0.78	    0.61	    0.08	   -0.16	   -0.92	    0.45	    0.73	   -0.16	    0.32	    0.17	    0.09	   -0.16	   -0.07	    0.26	    0.00	   -0.00	    0.02	    0.51	   -0.88	   -0.13	    0.05	   -0.09	   -0.48	   -0.25	    0.25	    0.02	    0.03	    0.02	    0.13	   -0.14	   -0.22	   -0.02	    0.06	   -0.06	  609.00	   34.22	  608.89	  608.10	  604.59	  609.25	  608.40	  608.12	  605.68	  601.97	  593.91	  582.38	  574.15	  564.21	  555.88	  544.06	  531.45	  515.24	  501.19	  486.48	  478.06	  471.96	  464.58	  456.88	  452.36	  445.42	  439.31	  433.93	  427.82	  423.44	  419.85	  415.28	  411.43	  407.95	  405.33	  403.59	  402.12	  401.68	  401.43	  401.97	  402.15	  403.15	  405.66	  406.91	  410.25	  413.85	  417.04	  420.48	  425.35	  428.79	  434.33	  438.59	  450.39	  461.37	  473.29	  486.39	  500.40	  510.78	  525.56	  537.54	  557.27	  574.22	  585.75	  595.10	  601.28	  605.98	  607.90	  608.45	  608.41	   38.39	   41.93	   40.58	   32.28	   20.33	   10.58	    2.45	    2.06	    2.99	    6.00	   11.60	   16.23	   26.50	   33.99	   33.93	   27.02	   38.19	   44.23	   36.75	   36.95	   36.21	   33.42	   30.26	   29.46	   28.76	   10.68	   16.71	   18.19	   20.11	   19.52	   14.37	   14.21	   14.09	   14.46	   16.10	   18.10	   21.27	    4.34	  -10.04	    4.27	    0.93	   -3.09	  -12.63	  -17.80	  -18.21	  -17.50	  -16.12	  -12.51	   -8.21	   -8.69	   -9.38	   -8.42	   -3.42	    2.61	    9.05	   14.22	   19.99	   24.61	   25.45	   21.63	    0.00	    0.00	    0.00
       6	 15:27:47	  -5.000	   0.000	  237.57	 1023.97	   23.86	     0.0	       0	       0	       0	       0	       0	   0.000	 -74.100	 328.728	   1.201	   555.6	    30.4	  998137	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	 0.00000	 0.00000	   0.000	   0.000	   0.000	   0.000	 372.485	   0.000	  559.90	    0.00	    0.00	    0.00	   -1.20	    1.20	   -0.86	   -1.91	   -3.13	   -0.25	   -2.36	    0.09	   -0.87	    0.41	   -1.60	   -1.63	   -1.36	   -1.28	   -0.99	   -0.31	   -1.30	   -2.28	   -1.27	   -2.31	   -0.59	   -0.56	    0.37	   -0.15	    0.31	    0.41	    1.35	   -0.96	   -2.01	    1.60	   -0.86	   -2.84	    0.43	   -0.01	    0.33	    0.06	    0.01	    0.35	    0.26	    0.34	    0.28	    0.13	    0.14	    0.18	    0.17	    0.22	    0.04	    0.04	    0.23	    0.04	    0.28	    0.15	    0.07	    0.12	    0.16	    0.16	    0.05	    0.20	   -0.02	    0.10	    0.26	    0.09	    0.25	    0.07	   -0.87	    1.58	    0.22	    2.19	   -0.45	    3.45	   -0.35	    0.27	   -0.15	    0.36	    0.17	   -0.26	    1.50	    2.18	    1.90	    0.97	   -0.96	    0.50	    1.34	   -0.44	    1.15	    1.44	    1.81	    0.35	    0.60	   -0.79	    0.60	    0.13	   -0.22	   -1.11	    0.41	    0.80	   -0.16	    0.34	    0.21	    0.07	   -0.13	   -0.07	    0.26	    0.00	    0.01	    0.03	    0.54	   -0.90	   -0.10	    0.06	   -0.08	   -0.47	   -0.23	    0.26	    0.00	    0.03	    0.05	    0.14	   -0.14	   -0.19	   -0.00	    0.06	   -0.03	  609.74	   32.86	  609.63	  608.83	  605.30	  609.98	  609.27	  609.36	  607.74	  605.43	  599.28	  589.09	  581.64	  572.53	  564.34	  552.66	  540.40	  525.06	  510.76	  496.04	  487.50	  481.64	  474.76	  466.90	  461.94	  454.99	  448.75	  442.80	  437.10	  432.90	  429.50	  425.02	  421.43	  418.18	  415.90	  414.29	  413.18	  412.97	  412.96	  413.80	  414.13	  414.68	  417.11	  418.39	  421.40	  424.20	  427.14	  430.93	  435.76	  439.84	  445.21	  449.49	  460.99	  471.01	  482.66	  495.29	  509.45	  520.00	  534.29	  545.55	  563.66	  579.33	  590.21	  598.48	  603.85	  607.68	  608.77	  609.18	  609.17	   37.51	   40.85	   39.59	   33.30	   23.67	   15.52	    7.22	    6.31	    6.95	    9.40	   13.90	   17.69	   27.47	   33.33	   33.13	   26.57	   36.01	   42.03	   34.50	   34.72	   34.09	   31.48	   28.51	   27.93	   27.38	    9.56	   15.81	   17.49	   19.57	   19.25	   14.34	   14.41	   14.49	   14.97	   16.62	   18.41	   21.17	    3.64	   -8.92	    5.88	    3.38	    0.03	   -9.00	  -13.81	  -14.18	  -13.55	  -12.39	   -9.03	   -5.00	   -5.71	   -6.65	   -6.03	   -1.48	    4.05	    9.97	   14.58	   19.83	   24.00	   24.47	   20.35	    0.00	    0.00	    0.00
       7	 15:28:24	  -3.996	   0.000	  238.65	 1023.95	   23.87	     0.0	       0	       0	       0	       0	       0	   0.000	 -74.100	 331.328	   1.201	   558.1	    30.5	 1000356	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	 0.00000	 0.00000	   0.000	   0.000	   0.000	   0.000	 372.470	   0.000	  562.48	    0.00	    0.00	    0.00	   -1.32	    1.45	   -0.98	   -1.61	   -3.11	   -0.32	   -2.42	    0.13	   -0.87	    0.41	   -1.62	   -1.59	   -1.71	   -1.32	   -0.93	   -0.23	   -1.28	   -2.10	   -1.40	   -2.17	   -0.83	   -0.69	    0.27	   -0.11	    0.23	    0.26	    1.56	   -1.19	   -1.84	    1.56	   -0.73	   -2.74	    0.43	    0.01	    0.34	    0.07	    0.00	    0.34	    0.26	    0.33	    0.30	    0.13	    0.13	    0.17	    0.16	    0.22	    0.03	    0.03	    0.24	    0.02	    0.26	    0.21	    0.07	    0.08	    0.15	    0.11	    0.06	    0.19	   -0.01	    0.08	    0.27	    0.10	    0.26	    0.06	   -0.95	    1.44	    0.25	    2.11	   -0.45	    3.44	   -0.38	    0.19	   -0.04	    0.35	    0.01	   -0.52	    1.16	    2.05	    1.92	    0.77	   -1.12	    0.48	    1.45	   -0.49	    1.10	    1.16	    1.75	    0.46	    0.30	   -0.75	    0.54	    0.00	   -0.18	   -1.05	    0.40	    0.78	   -0.16	    0.35	    0.19	    0.07	   -0.16	   -0.06	    0.26	    0.01	    0.00	    0.02	    0.55	   -0.97	   -0.11	    0.04	   -0.10	   -0.51	   -0.24	    0.28	   -0.00	    0.01	    0.05	    0.13	   -0.15	   -0.21	   -0.01	    0.05	   -0.04	  610.54	   31.71	  610.46	  609.65	  606.12	  610.80	  610.13	  610.51	  609.50	  608.39	  604.04	  596.67	  591.01	  583.13	  576.57	  565.87	  554.42	  538.84	  524.66	  510.22	  502.41	  496.77	  490.48	  483.05	  478.51	  471.17	  464.71	  458.99	  453.30	  448.55	  444.10	  439.52	  435.97	  432.19	  429.73	  427.56	  425.79	  425.11	  424.60	  424.67	  425.01	  425.73	  428.13	  429.28	  432.04	  435.58	  439.16	  443.59	  448.78	  452.70	  458.00	  462.57	  474.13	  483.86	  495.34	  507.64	  520.59	  530.51	  543.96	  555.07	  572.14	  585.79	  594.58	  601.38	  605.93	  608.59	  609.58	  609.98	  609.96	   36.81	   39.95	   38.72	   34.37	   26.30	   19.33	   11.45	    9.81	    9.44	   11.33	   15.33	   18.97	   27.41	   32.45	   32.65	   26.49	   33.75	   39.71	   32.13	   32.36	   31.78	   29.21	   26.44	   26.09	   25.71	    8.02	   14.50	   16.38	   18.68	   18.59	   13.95	   14.28	   14.61	   15.26	   17.00	   18.83	   21.70	    4.40	   -7.89	    8.22	    6.58	    3.89	   -4.52	   -8.90	   -9.15	   -8.57	   -7.61	   -4.51	   -0.85	   -1.72	   -2.95	   -2.76	    1.30	    6.30	   11.59	   15.57	   20.22	   23.86	   23.85	   19.29	    0.00	    0.00	    0.00
