Alpha Cd Cd(f) Cd(r) Cl Cl(f) Cl(r) CmPitch CmRoll CmYaw Cs Cs(f) Cs(r) xcp Ux_final Uy_final k_final p_final omega_final Cl_res Cd_res Cm_res yplus iter_n
-10 1.3663993930043036e-01 4.4523741234646558e-01 -3.0859747304603524e-01 -3.7691744269625044e-01 -9.3330470546772862e-02 -2.8358697214947753e-01 9.5128250801352343e-02 3.7691744269625044e-01 1.3663993930043036e-01 1.3437417766253934e-22 1.3663993930043036e-01 -1.3663993930043036e-01 0.49088071766735775 1.5720334855988669e-07 5.0635296566426091e-07 2.8265170717463551e-09 5.4069960060356719e-07 4.4206759962787140e-11 0.004392488551060614 0.0039935922417936864 0.0007023475825364417 1.6019035176478771e+00 5001
-5 7.0056986543970690e-02 1.5492140000275187e-01 -8.4864413458781152e-02 -1.1989290673076650e-01 -1.1004679213461757e-02 -1.0888822751730474e-01 4.8941774151921490e-02 1.1989290673076650e-01 7.0056986543970690e-02 -4.8799192753752895e-23 7.0056986543970690e-02 -7.0056986543970690e-02 0.6398421326494702 2.2469459223777550e-08 2.1417388529479050e-07 7.1354211125382744e-10 1.3567126737915459e-07 3.3753291734978363e-11 0.0004757457799185322 0.0012647308481650993 0.00011264466919921196 1.5474656917408185e+00 5001
-2 5.1025028769104988e-02 3.5736783739860591e-02 1.5288245029244394e-02 -1.0224269355308102e-02 2.6903316503460426e-02 -3.7127585858768526e-02 3.2015451181114478e-02 1.0224269355308102e-02 5.1025028769104988e-02 -8.2345254678883900e-23 5.1025028769104988e-02 -5.1025028769104988e-02 2.9182235711348223 1.5511954139423041e-08 5.2122717542895536e-07 4.3801140841393390e-10 2.4703699108596523e-07 3.3797841115621771e-11 0.002911705263300592 0.002674598973829302 2.7227467743751177e-05 1.5382895717254574e+00 5001
0 4.1019645409859633e-02 -2.3616125265557461e-01 2.7718089806543428e-01 2.5667107536050443e-01 1.2035035470986141e-01 1.3632072065064302e-01 -7.9851829703908063e-03 -2.5667107536050443e-01 4.1019645409859633e-02 -7.5506434754956871e-22 4.1019645409859633e-02 -4.1019645409859633e-02 0.28111056810423735 1.3163290451968439e-08 7.0559670186788803e-06 6.0737700572679296e-10 1.6943413315580900e-07 3.0484902638345328e-11 0.0022193559430445653 0.0006523662894605334 0.0003213778231883537 1.4883387159905459e+00 5001
2 3.4505288566662067e-02 -5.5358628938397014e-01 5.8809157795063216e-01 5.7083893366730110e-01 2.3519073152822265e-01 3.3564820213907842e-01 -5.0228735305427895e-02 -5.7083893366730110e-01 3.4505288566662060e-02 -1.2762178579581322e-21 3.4505288566662060e-02 -3.4505288566662060e-02 0.33785925917876786 4.2271998389766516e-09 9.5157071666191521e-08 4.6981862540575547e-10 1.5109971705012201e-07 2.7776579842564620e-11 0.0005191222440319443 0.0005162667043059899 0.0004051787580034022 1.5007243626900642e+00 5001
6 1.8600604751460227e-02 -1.1180772521027553e+00 1.1366778568542157e+00 1.1273775544784854e+00 4.7919140524360548e-01 6.4818614923488005e-01 -8.4497371995637283e-02 -1.1273775544784854e+00 1.8600604751460227e-02 -3.0787140526378614e-21 1.8600604751460227e-02 -1.8600604751460227e-02 0.3252327617141272 6.1420105399239977e-09 4.8456578335658543e-08 5.3973231669428482e-10 6.3997078923216750e-08 1.5298558012117100e-11 0.00013086824719676926 0.00015825608873963268 0.00013059773612728032 1.6768294536234303e+00 283
10 3.7579639102797914e-02 -1.3929343709028772e+00 1.4305140100056748e+00 1.4117241904542761e+00 6.2941862492579626e-01 7.8230556552847974e-01 -7.6443470301341770e-02 -1.4117241904542761e+00 3.7579639102797886e-02 -3.5484597313153457e-21 3.7579639102797886e-02 -3.7579639102797886e-02 0.30472746992792965 1.0731894041680599e-08 5.0045269185470621e-08 4.7960369593249187e-10 4.4911927667085448e-08 1.9179209776336480e-11 0.00014562502706705338 7.26082628948535e-05 0.00012705368512509752 1.8571628194359142e+00 220
12 7.1088796426228396e-02 -1.3557384707644444e+00 1.4268272671906730e+00 1.3912828689775587e+00 6.0611994392658131e-01 7.8516292505097740e-01 -8.9521490562198019e-02 -1.3912828689775587e+00 7.1088796426228396e-02 -3.3585447595484456e-21 7.1088796426228396e-02 -7.1088796426228396e-02 0.31507529335847456 9.3888213922734878e-09 3.8486527712811607e-08 6.3894641008178374e-10 7.4097111338142670e-08 1.4938984521216440e-11 0.002154889572714147 6.200936401028201e-05 0.00010901810223476471 1.8753078852736944e+00 361
14 2.2422456255741557e-01 -6.9993058842588829e-01 9.2415515098330381e-01 8.1204286970459605e-01 2.4231604451809555e-01 5.6972682518650053e-01 -1.6370539033420248e-01 -8.1204286970459605e-01 2.2422456255741557e-01 -2.4768888917242072e-21 2.2422456255741557e-01 -2.2422456255741557e-01 0.44438600230158987 9.1351013900780575e-09 2.3842968732316539e-08 2.3163066628356500e-10 7.6630744220398586e-08 8.4114230222315669e-12 9.880686357255364e-05 3.487242569019666e-05 4.6671899808253814e-05 1.6299155801852190e+00 833
16 2.5702185049646892e-01 -7.4446168958135261e-01 1.0014835400778217e+00 8.7297261482958710e-01 2.6735066655977796e-01 6.0562194826980920e-01 -1.6913564085501562e-01 -8.7297261482958710e-01 2.5702185049646892e-01 -2.6256200478407740e-21 2.5702185049646892e-01 -2.5702185049646892e-01 0.4358633498715047 7.5535998910747154e-09 2.2854421512654389e-08 6.5557884486780883e-10 7.0653625294804121e-08 1.0600603545325160e-12 0.00015692075964224284 7.753364306684052e-05 6.105910236040013e-05 1.6422274771110670e+00 838
18 2.8950356515488507e-01 -7.6220975436741933e-01 1.0517133195223045e+00 9.0696153694486192e-01 2.8096524045028248e-01 6.2599629649457933e-01 -1.7251552802214845e-01 -9.0696153694486192e-01 2.8950356515488507e-01 -2.6992569315360766e-21 2.8950356515488507e-01 -2.8950356515488507e-01 0.43120747027056094 7.0208077153763930e-09 1.6468346951301300e-08 7.2914611966442450e-10 7.6491213329130161e-08 5.2485358584758756e-13 0.0002114776611437108 6.614239610852612e-05 4.5701764538830236e-05 1.6516026615945865e+00 1465
