   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	  -9.997	     NaN	     NaN	     NaN	0.146471	 -0.2393	     NaN	     NaN	  329.07	   0.000	5.065E+5	   0.045	  142.61	   15.40	    61.1	 1023.70	   23.24	 1.00000	 1.00000	 1.00000	 0.98987	 0.96867	 0.94689	 0.92035	 0.88877	 0.84538	 0.79958	 0.76906	 0.74636	 0.72267	 0.69842	 0.67170	 0.64538	 0.62466	 0.60327	 0.59384	 0.58428	 0.57805	 0.57428	 0.56831	 0.56226	 0.55972	 0.55668	 0.55234	 0.55377	 0.55700	 0.55419	 0.55417	 0.55393	 0.56002	 0.56141	 0.56702	 0.57259	 0.58050	 0.58787	 0.59371	 0.60082	 0.60928	 0.61765	 0.63082	 0.63560	 0.64929	 0.65615	 0.66546	 0.67503	 0.69041	 0.70011	 0.71976	 0.74228	 0.76078	 0.78830	 0.80964	 0.82591	 0.85286	 0.87386	 0.91046	 0.93899	 0.96074	 0.97896	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03964	-0.03495	-0.06857	-0.13117	-0.16387	-0.17336	-0.17156	-0.15875	-0.14721	-0.13064	-0.10772	-0.09346	-0.06834	-0.04738	-0.04875	-0.06628	-0.03659	-0.02691	-0.04251	-0.04305	-0.04358	-0.05230	-0.06015	-0.06922	-0.07543	-0.09072	-0.08945	-0.08992	-0.08951	-0.09164	-0.10462	-0.10669	-0.11020	-0.11159	-0.10975	-0.10361	-0.09611	-0.12791	-0.15668	-0.13416	-0.14576	-0.16096	-0.18006	-0.19060	-0.19232	-0.19019	-0.18506	-0.17726	-0.16692	-0.16622	-0.16342	-0.15902	-0.14710	-0.13113	-0.11404	-0.10000	-0.08530	-0.07262	-0.06796	-0.07077	
       2	  -8.996	     NaN	     NaN	     NaN	0.131400	 -0.2108	     NaN	     NaN	  330.87	   0.000	4.825E+5	   0.042	  129.42	   14.67	    55.4	 1023.71	   23.24	 1.00000	 1.00000	 1.00000	 1.00000	 0.97961	 0.96219	 0.93841	 0.91093	 0.86749	 0.82435	 0.79685	 0.77149	 0.74673	 0.72380	 0.69800	 0.67092	 0.64825	 0.62461	 0.61541	 0.60637	 0.59990	 0.59557	 0.58969	 0.58395	 0.58066	 0.57676	 0.57171	 0.57255	 0.57594	 0.57289	 0.57431	 0.57458	 0.58145	 0.58310	 0.58957	 0.59382	 0.60118	 0.60837	 0.61638	 0.62332	 0.63210	 0.64095	 0.65356	 0.65889	 0.67303	 0.68052	 0.69029	 0.69965	 0.71394	 0.72377	 0.74242	 0.76542	 0.78607	 0.81442	 0.83862	 0.85567	 0.88084	 0.90034	 0.93296	 0.95565	 0.97313	 0.98688	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03828	-0.03117	-0.05191	-0.10358	-0.13366	-0.14266	-0.14261	-0.13304	-0.12431	-0.10992	-0.09196	-0.07854	-0.05587	-0.04385	-0.04769	-0.06463	-0.04029	-0.03064	-0.04579	-0.04653	-0.04726	-0.05587	-0.06329	-0.07193	-0.07754	-0.09254	-0.09086	-0.09093	-0.09009	-0.09133	-0.10372	-0.10490	-0.10789	-0.10877	-0.10660	-0.10032	-0.09274	-0.12397	-0.15224	-0.12755	-0.13737	-0.15120	-0.16908	-0.17853	-0.18037	-0.17845	-0.17365	-0.16669	-0.15689	-0.15660	-0.15445	-0.15086	-0.14017	-0.12545	-0.10949	-0.09689	-0.08314	-0.07175	-0.06821	-0.07153	
       3	  -7.999	     NaN	     NaN	     NaN	0.116682	 -0.1939	     NaN	     NaN	  329.15	   0.000	5.052E+5	   0.044	  141.88	   15.36	    60.8	 1023.69	   23.24	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97962	 0.96184	 0.93790	 0.90062	 0.85911	 0.83344	 0.80873	 0.78349	 0.76042	 0.73360	 0.70468	 0.67996	 0.65352	 0.64428	 0.63425	 0.62616	 0.62086	 0.61452	 0.60920	 0.60497	 0.60176	 0.59663	 0.59663	 0.59919	 0.59642	 0.59726	 0.59695	 0.60184	 0.60148	 0.60687	 0.61036	 0.61647	 0.62263	 0.63068	 0.63845	 0.64707	 0.65677	 0.67005	 0.67533	 0.68941	 0.69757	 0.70832	 0.71872	 0.73259	 0.74250	 0.76201	 0.78732	 0.80842	 0.83642	 0.86035	 0.87733	 0.90125	 0.91916	 0.94962	 0.96951	 0.98290	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03446	-0.02724	-0.04125	-0.08508	-0.11221	-0.12237	-0.12414	-0.11597	-0.10983	-0.09784	-0.08136	-0.06959	-0.04990	-0.04074	-0.04475	-0.06060	-0.03991	-0.03033	-0.04508	-0.04564	-0.04620	-0.05422	-0.06120	-0.06890	-0.07427	-0.08855	-0.08620	-0.08580	-0.08437	-0.08542	-0.09692	-0.09755	-0.09993	-0.10046	-0.09843	-0.09277	-0.08637	-0.11891	-0.14463	-0.11839	-0.12702	-0.13931	-0.15637	-0.16546	-0.16718	-0.16545	-0.16123	-0.15473	-0.14587	-0.14583	-0.14443	-0.14150	-0.13149	-0.11801	-0.10318	-0.09159	-0.07916	-0.06862	-0.06554	-0.06969	
       4	  -7.006	     NaN	     NaN	     NaN	0.106447	 -0.1775	     NaN	     NaN	  330.67	   0.000	4.876E+5	   0.043	  132.22	   14.83	    56.6	 1023.68	   23.24	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97695	 0.95672	 0.92006	 0.88080	 0.85505	 0.83058	 0.80545	 0.78092	 0.75316	 0.72348	 0.69743	 0.67147	 0.66216	 0.65241	 0.64485	 0.63853	 0.63153	 0.62601	 0.62028	 0.61598	 0.60962	 0.60958	 0.61144	 0.60821	 0.60964	 0.60932	 0.61592	 0.61686	 0.62396	 0.62890	 0.63658	 0.64271	 0.65209	 0.65948	 0.66871	 0.67852	 0.69120	 0.69657	 0.71118	 0.71977	 0.73084	 0.74251	 0.75618	 0.76620	 0.78686	 0.81136	 0.83135	 0.85756	 0.87867	 0.89397	 0.91579	 0.93087	 0.95924	 0.97680	 0.98798	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03089	-0.02395	-0.03289	-0.06798	-0.09349	-0.10401	-0.10773	-0.10363	-0.09901	-0.08804	-0.07277	-0.06173	-0.04439	-0.03810	-0.04159	-0.05684	-0.04013	-0.03056	-0.04532	-0.04546	-0.04560	-0.05343	-0.05996	-0.06712	-0.07191	-0.08564	-0.08301	-0.08216	-0.08041	-0.08045	-0.09165	-0.09140	-0.09353	-0.09372	-0.09155	-0.08595	-0.07987	-0.11182	-0.13792	-0.11060	-0.11754	-0.12907	-0.14497	-0.15417	-0.15505	-0.15383	-0.15003	-0.14401	-0.13556	-0.13605	-0.13525	-0.13311	-0.12396	-0.11131	-0.09756	-0.08696	-0.07550	-0.06590	-0.06352	-0.06807	
       5	  -5.994	     NaN	     NaN	     NaN	0.095595	 -0.1574	     NaN	     NaN	  329.38	   0.000	5.035E+5	   0.044	  140.96	   15.31	    60.4	 1023.66	   23.26	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98427	 0.96826	 0.93687	 0.90311	 0.88110	 0.85705	 0.83353	 0.80972	 0.78244	 0.75369	 0.72746	 0.70203	 0.69286	 0.68245	 0.67446	 0.66739	 0.65987	 0.65433	 0.64861	 0.64481	 0.63935	 0.63945	 0.64250	 0.63872	 0.63935	 0.63878	 0.64339	 0.64351	 0.64961	 0.65330	 0.66067	 0.66743	 0.67672	 0.68324	 0.69239	 0.70097	 0.71248	 0.71762	 0.73128	 0.73899	 0.74936	 0.76015	 0.77343	 0.78426	 0.80555	 0.82982	 0.84993	 0.87590	 0.89574	 0.90953	 0.92921	 0.94366	 0.96749	 0.98228	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02972	-0.02304	-0.02927	-0.05627	-0.07856	-0.08999	-0.09577	-0.09190	-0.08853	-0.08000	-0.06720	-0.05844	-0.04274	-0.03748	-0.04042	-0.05463	-0.04176	-0.03214	-0.04650	-0.04666	-0.04682	-0.05416	-0.06034	-0.06699	-0.07128	-0.08439	-0.08120	-0.08009	-0.07770	-0.07751	-0.08790	-0.08735	-0.08896	-0.08891	-0.08657	-0.08176	-0.07666	-0.10998	-0.13310	-0.10431	-0.10965	-0.11965	-0.13460	-0.14318	-0.14393	-0.14277	-0.13948	-0.13405	-0.12634	-0.12715	-0.12687	-0.12533	-0.11704	-0.10554	-0.09296	-0.08344	-0.07287	-0.06420	-0.06259	-0.06778	
       6	  -4.997	     NaN	     NaN	     NaN	0.086412	 -0.1339	     NaN	     NaN	  330.89	   0.000	4.975E+5	   0.044	  137.64	   15.13	    59.0	 1023.64	   23.26	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97876	 0.95166	 0.91937	 0.89705	 0.87496	 0.85297	 0.83233	 0.80599	 0.77771	 0.75387	 0.72870	 0.71954	 0.70962	 0.70241	 0.69566	 0.68860	 0.68215	 0.67624	 0.67140	 0.66603	 0.66615	 0.66780	 0.66336	 0.66332	 0.66214	 0.66675	 0.66603	 0.67137	 0.67427	 0.68013	 0.68551	 0.69448	 0.69993	 0.70898	 0.71816	 0.73107	 0.73665	 0.75078	 0.75995	 0.77053	 0.78149	 0.79503	 0.80599	 0.82565	 0.84785	 0.86654	 0.89008	 0.90878	 0.92146	 0.93921	 0.95172	 0.97322	 0.98474	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02779	-0.02135	-0.02548	-0.04508	-0.06507	-0.07577	-0.08275	-0.08158	-0.07898	-0.07038	-0.05863	-0.05135	-0.03809	-0.03503	-0.03784	-0.05140	-0.04268	-0.03311	-0.04766	-0.04764	-0.04762	-0.05505	-0.06063	-0.06700	-0.07080	-0.08361	-0.07990	-0.07857	-0.07579	-0.07514	-0.08487	-0.08391	-0.08511	-0.08468	-0.08234	-0.07719	-0.07202	-0.10416	-0.12701	-0.09711	-0.10087	-0.10968	-0.12366	-0.13133	-0.13210	-0.13112	-0.12820	-0.12304	-0.11588	-0.11720	-0.11730	-0.11659	-0.10918	-0.09858	-0.08702	-0.07855	-0.06909	-0.06138	-0.06068	-0.06627	
       7	  -4.007	     NaN	     NaN	     NaN	0.078240	 -0.1069	     NaN	     NaN	  329.19	   0.000	4.985E+5	   0.044	  138.20	   15.16	    59.2	 1023.65	   23.26	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98772	 0.96405	 0.93675	 0.91705	 0.89519	 0.87393	 0.85285	 0.82683	 0.79879	 0.77409	 0.74959	 0.73959	 0.72899	 0.72124	 0.71290	 0.70552	 0.69988	 0.69314	 0.68896	 0.68392	 0.68444	 0.68660	 0.68330	 0.68418	 0.68371	 0.68891	 0.68781	 0.69353	 0.69644	 0.70304	 0.70847	 0.71736	 0.72301	 0.73185	 0.74068	 0.75332	 0.75923	 0.77275	 0.78052	 0.79058	 0.80155	 0.81445	 0.82530	 0.84287	 0.86491	 0.88283	 0.90548	 0.92288	 0.93479	 0.95064	 0.96166	 0.98066	 0.99075	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02720	-0.02120	-0.02440	-0.03897	-0.05616	-0.06601	-0.07433	-0.07510	-0.07288	-0.06500	-0.05584	-0.05026	-0.03735	-0.03407	-0.03619	-0.04904	-0.04453	-0.03526	-0.04970	-0.04968	-0.04966	-0.05649	-0.06196	-0.06794	-0.07134	-0.08391	-0.07982	-0.07813	-0.07494	-0.07388	-0.08330	-0.08178	-0.08269	-0.08213	-0.07978	-0.07515	-0.07053	-0.10420	-0.12263	-0.09093	-0.09331	-0.10052	-0.11350	-0.12050	-0.12086	-0.11999	-0.11732	-0.11275	-0.10665	-0.10770	-0.10830	-0.10827	-0.10173	-0.09204	-0.08174	-0.07438	-0.06597	-0.05923	-0.05934	-0.06567	
       8	  -2.999	     NaN	     NaN	     NaN	0.070055	 -0.0711	     NaN	     NaN	  330.92	   0.000	4.995E+5	   0.044	  138.73	   15.19	    59.4	 1023.64	   23.27	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97707	 0.95371	 0.93574	 0.91500	 0.89453	 0.87398	 0.84745	 0.81873	 0.79471	 0.76995	 0.76090	 0.75074	 0.74337	 0.73631	 0.72914	 0.72349	 0.71817	 0.71389	 0.70824	 0.70822	 0.70968	 0.70545	 0.70543	 0.70574	 0.71007	 0.71019	 0.71662	 0.71923	 0.72588	 0.73173	 0.74116	 0.74753	 0.75554	 0.76417	 0.77600	 0.78228	 0.79563	 0.80283	 0.81361	 0.82349	 0.83514	 0.84554	 0.86134	 0.88137	 0.89721	 0.91829	 0.93355	 0.94368	 0.95786	 0.96684	 0.98394	 0.99092	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02637	-0.02049	-0.02331	-0.03280	-0.04781	-0.05657	-0.06536	-0.06658	-0.06534	-0.05954	-0.05146	-0.04660	-0.03498	-0.03186	-0.03350	-0.04547	-0.04599	-0.03698	-0.05168	-0.05185	-0.05201	-0.05876	-0.06402	-0.06969	-0.07277	-0.08499	-0.08070	-0.07857	-0.07519	-0.07371	-0.08266	-0.08073	-0.08114	-0.08019	-0.07751	-0.07240	-0.06765	-0.10003	-0.11633	-0.08290	-0.08359	-0.08937	-0.10101	-0.10721	-0.10718	-0.10635	-0.10401	-0.09965	-0.09332	-0.09563	-0.09679	-0.09753	-0.09190	-0.08350	-0.07424	-0.06827	-0.06106	-0.05563	-0.05668	-0.06401	
       9	  -2.005	     NaN	     NaN	     NaN	0.062624	 -0.0127	     NaN	     NaN	  329.07	   0.000	5.004E+5	   0.044	  139.26	   15.22	    59.7	 1023.63	   23.27	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98840	 0.97236	 0.95742	 0.93877	 0.92015	 0.90026	 0.87417	 0.84497	 0.81920	 0.79309	 0.78348	 0.77270	 0.76511	 0.75704	 0.74895	 0.74257	 0.73637	 0.73104	 0.72487	 0.72405	 0.72515	 0.72033	 0.72085	 0.72027	 0.72503	 0.72537	 0.73220	 0.73472	 0.74154	 0.74729	 0.75655	 0.76274	 0.77052	 0.77897	 0.79016	 0.79637	 0.81026	 0.81886	 0.82996	 0.84032	 0.85270	 0.86274	 0.87821	 0.89821	 0.91255	 0.93154	 0.94441	 0.95319	 0.96546	 0.97386	 0.98887	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02784	-0.02205	-0.02425	-0.02946	-0.04204	-0.05047	-0.05980	-0.06219	-0.06158	-0.05643	-0.04883	-0.04486	-0.03354	-0.03034	-0.03121	-0.04217	-0.04964	-0.04117	-0.05652	-0.05723	-0.05793	-0.06501	-0.07043	-0.07609	-0.07919	-0.09131	-0.08667	-0.08446	-0.07991	-0.07891	-0.08758	-0.08507	-0.08475	-0.08322	-0.08025	-0.07491	-0.07013	-0.10281	-0.11091	-0.07529	-0.07354	-0.07754	-0.08743	-0.09225	-0.09174	-0.09075	-0.08866	-0.08470	-0.07975	-0.08141	-0.08320	-0.08470	-0.07998	-0.07290	-0.06519	-0.06080	-0.05526	-0.05145	-0.05377	-0.06219	
